date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:17:58	125748/125748	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Oct%202024%2015:01:47%20GMT	https://suarendadigitalemcasa.com.br/	C:/Meus%20Sites/renda%20extra/suarendadigitalemcasa.com.br/index.html	(from )
17:17:58	139/139	---M-Z	200	added ('OK')	text/plain	date:Fri,%2004%20Oct%202024%2020:18:00%20GMT	https://suarendadigitalemcasa.com.br/robots.txt		(from )
17:17:59	22227/22227	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Oct%202024%2020:18:01%20GMT	https://suarendadigitalemcasa.com.br/wp-content/uploads/2023/11/bg01.webp%20linear	C:/Meus%20Sites/renda%20extra/suarendadigitalemcasa.com.br/wp-content/uploads/2023/11/bg01.webp%20linear	(from https://suarendadigitalemcasa.com.br/)
17:17:59	15447/15447	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%223c57-65675f50-210;br%22	https://suarendadigitalemcasa.com.br/wp-content/uploads/2023/11/logo.svg	C:/Meus%20Sites/renda%20extra/suarendadigitalemcasa.com.br/wp-content/uploads/2023/11/logo.svg	(from https://suarendadigitalemcasa.com.br/)
17:17:59	5756/5756	---MCZ	200	added ('OK')	text/css	etag:W/%22167c-65dcaa4b-becc6;br%22	https://suarendadigitalemcasa.com.br/wp-content/themes/hello-elementor/style.min.css?ver=3.0.1	C:/Meus%20Sites/renda%20extra/suarendadigitalemcasa.com.br/wp-content/themes/hello-elementor/style.min41fe.css	(from https://suarendadigitalemcasa.com.br/)
17:17:59	5131/5131	---MCZ	200	added ('OK')	text/css	etag:W/%22140b-65dcaa4b-becd0;br%22	https://suarendadigitalemcasa.com.br/wp-content/themes/hello-elementor/theme.min.css?ver=3.0.1	C:/Meus%20Sites/renda%20extra/suarendadigitalemcasa.com.br/wp-content/themes/hello-elementor/theme.min41fe.css	(from https://suarendadigitalemcasa.com.br/)
17:17:59	7325/7325	---MCZ	200	added ('OK')	text/css	etag:W/%221c9d-65dcaa4b-becb8;br%22	https://suarendadigitalemcasa.com.br/wp-content/themes/hello-elementor/header-footer.min.css?ver=3.0.1	C:/Meus%20Sites/renda%20extra/suarendadigitalemcasa.com.br/wp-content/themes/hello-elementor/header-footer.min41fe.css	(from https://suarendadigitalemcasa.com.br/)
17:18:00	118945/118945	---MCZ	200	added ('OK')	text/css	etag:W/%221d0a1-6667ab1e-fc21b;br%22	https://suarendadigitalemcasa.com.br/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.21.8	C:/Meus%20Sites/renda%20extra/suarendadigitalemcasa.com.br/wp-content/plugins/elementor/assets/css/frontend-lite.min3cad.css	(from https://suarendadigitalemcasa.com.br/)
17:18:00	2012/2012	---MCZ	200	added ('OK')	text/css	etag:W/%227dc-66683c5d-bd1ec;br%22	https://suarendadigitalemcasa.com.br/wp-content/uploads/elementor/css/post-9.css?ver=1718107229	C:/Meus%20Sites/renda%20extra/suarendadigitalemcasa.com.br/wp-content/uploads/elementor/css/post-98f42.css	(from https://suarendadigitalemcasa.com.br/)
17:18:00	16471/16471	---MCZ	200	added ('OK')	text/css	etag:W/%224057-6667ab1e-fc3ea;br%22	https://suarendadigitalemcasa.com.br/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/Meus%20Sites/renda%20extra/suarendadigitalemcasa.com.br/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://suarendadigitalemcasa.com.br/)
